  n  player  taxman  diff
  1       1       0      -1
  2       1       2       1
  3       3       3       0
  4       3       7       4
  5       6       9       3
  6       6      15       9
  7      11      17       6
  8      15      21       6
  9      15      30      15
 10      15      40      25
 11      22      44      22
 12      30      48      18
 13      41      50       9
 14      39      66      27
 15      48      72      24
 16      56      80      24
 17      69      84      15
 18      69     102      33
 19      86     104      18
 20      86     124      38
 21      96     135      39
 22      96     157      61
 23     115     161      46
 24     127     173      46
 25     127     198      71
 26     127     224      97
 27     146     232      86
 28     142     264     122
 29     165     270     105
 30     165     300     135
 31     194     302     108
 32     210     318     108
 33     224     337     113
 34     224     371     147
 35     270     360      90
 36     270     396     126
 37     301     402     101
 38     301     440     139
 39     323     457     134
 40     343     477     134
 41     380     481     101
 42     380     523     143
 43     421     525     104
 44     419     571     152
 45     466     569     103
 46     466     615     149
 47     509     619     110
 48     533     643     110
 49     533     692     159
 50     533     742     209
 51     559     767     208
 52     559     819     260
 53     606     825     219
 54     606     879     273
 55     674     866     192
 56     674     922     248
 57     708     945     237
 58     708    1003     295
 59     761    1009     248
 60     789    1041     252
 61     848    1043     195
 62     848    1105     257
 63     888    1128     240
 64     920    1160     240
 65     920    1225     305
 66     920    1291     371
 67     981    1297     316
 68     981    1365     384
 69    1058    1357     299
 70    1048    1437     389
 71    1115    1441     326
 72    1115    1513     398
 73    1186    1515     329
 74    1186    1589     403
 75    1156    1694     538
 76    1156    1770     614
 77    1205    1798     593
 78    1235    1846     611
 79    1308    1852     544
 80    1344    1896     552
 81    1393    1928     535
 82    1393    2010     617
 83    1472    2014     542
 84    1468    2102     634
 85    1523    2132     609
 86    1523    2218     695
 87    1620    2208     588
 88    1664    2252     588
 89    1747    2258     511
 90    1747    2348     601
 91    1812    2374     562
 92    1812    2466     654
 93    1870    2501     631
 94    1870    2595     725
 95    1927    2633     706
 96    1975    2681     706
 97    2064    2689     625
 98    2064    2787     723
 99    2106    2844     738
100    2146    2904     758
101    2243    2908     665
102    2243    3010     767
103    2344    3012     668
104    2396    3064     668
105    2446    3119     673
106    2446    3225     779
107    2549    3229     680
108    2565    3321     756
109    2672    3323     651
110    2672    3433     761
111    2734    3482     748
112    2790    3538     748
113    2899    3542     643
114    2899    3656     757
115    2968    3702     734
116    2968    3818     850
117    2968    3935     967
118    2968    4053    1085
119    3053    4087    1034
120    3113    4147    1034
121    3190    4191    1001
122    3190    4313    1123
123    3264    4362    1098
124    3264    4486    1222
125    3327    4548    1221
126    3327    4674    1347
127    3440    4688    1248
128    3440    4816    1376
129    3522    4863    1341
130    3522    4993    1471
131    3649    4997    1348
132    3737    5041    1304
133    3832    5079    1247
134    3832    5213    1381
135    3955    5225    1270
136    4023    5293    1270
137    4154    5299    1145
138    4154    5437    1283
139    4291    5439    1148
140    4295    5575    1280
141    4381    5630    1249
142    4381    5772    1391
143    4593    5703    1110
144    4593    5847    1254
145    4680    5905    1225
146    4680    6051    1371
147    4680    6198    1518
148    4680    6346    1666
149    4819    6356    1537
150    4915    6410    1495
151    5064    6412    1348
152    5140    6488    1348
153    5110    6671    1561
154    5088    6847    1759
155    5181    6909    1728
156    5345    6901    1556
157    5496    6907    1411
158    5496    7065    1569
159    5590    7130    1540
160    5662    7218    1556
161    5777    7264    1487
162    5777    7426    1649
163    5934    7432    1498
164    5934    7596    1662
165    5949    7746    1797
166    5949    7912    1963
167    6112    7916    1804
168    6196    8000    1804
169    6196    8169    1973
170    6196    8339    2143
171    6196    8510    2314
172    6196    8682    2486
173    6363    8688    2325
174    6363    8862    2499
175    6587    8813    2226
176    6667    8909    2242
177    6773    8980    2207
178    6773    9158    2385
179    6946    9164    2218
180    7006    9284    2278
181    7185    9286    2101
182    7159    9494    2335
183    7277    9559    2282
184    7369    9651    2282
185    7480    9725    2245
186    7480    9911    2431
187    7742    9836    2094
188    7742   10024    2282
189    7778   10177    2399
190    7778   10367    2589
191    7959   10377    2418
192    8055   10473    2418
193    8246   10475    2229
194    8246   10669    2423
195    8285   10825    2540
196    8257   11049    2792
197    8450   11053    2603
198    8450   11251    2801
199    8647   11253    2606
200    8747   11353    2606
201    8869   11432    2563
202    8869   11634    2765
203    9014   11692    2678
204    9150   11760    2610
205    9273   11842    2569
206    9273   12048    2775
207    9351   12177    2826
208    9455   12281    2826
209    9588   12357    2769
210    9574   12581    3007
211    9773   12593    2820
212    9773   12805    3032
213    9907   12884    2977
214    9907   13098    3191
215   10036   13184    3148
216   10068   13368    3300
217   10223   13430    3207
218   10223   13648    3425
219   10365   13725    3360
220   10477   13833    3356
221   10833   13698    2865
222   10833   13920    3087
223   11044   13932    2888
224   11012   14188    3176
225   11099   14326    3227
226   11099   14552    3453
227   11322   14556    3234
228   11474   14632    3158
229   11701   14634    2933
230   11701   14864    3163
231   11934   14862    2928
232   12050   14978    2928
233   12279   14982    2703
234   12279   15216    2937
235   12420   15310    2890
236   12420   15546    3126
237   12566   15637    3071
238   12532   15909    3377
239   12765   15915    3150
240   12985   15935    2950
241   13224   15937    2713
242   13224   16179    2955
243   13358   16288    2930
244   13358   16532    3174
245   13358   16777    3419
246   13358   17023    3665
247   13358   17270    3912
248   13482   17394    3912
249   13640   17485    3845
250   13640   17735    4095
251   13881   17745    3864
252   13725   18153    4428
253   14095   18036    3941
254   14095   18290    4195
255   14156   18484    4328
256   14284   18612    4328
257   14535   18618    4083
258   14535   18876    4341
259   14720   18950    4230
260   14932   18998    4066
261   15034   19157    4123
262   15034   19419    4385
263   15291   19425    4134
264   15423   19557    4134
265   15582   19663    4081
266   15544   19967    4423
267   15710   20068    4358
268   15710   20336    4626
269   15973   20342    4369
270   15973   20612    4639
271   16242   20614    4372
272   16378   20750    4372
273   16378   21023    4645
274   16378   21297    4919
275   16553   21397    4844
276   16737   21489    4752
277   17008   21495    4487
278   17008   21773    4765
279   17008   22052    5044
280   17008   22332    5324
281   17285   22336    5051
282   17285   22618    5333
283   17566   22620    5054
284   17566   22904    5338
